n,Group,doc_id,cross_entropy,Split
1,Agent,1666,9.002679624497393,1
1,Agent,183,10.12294892661172,1
1,Agent,3091,9.418590987022734,1
1,Agent,1756,7.40218915765364,1
1,Agent,1569,9.436620916772602,1
1,Agent,3037,8.786854974381717,1
1,Agent,2147,9.783560468123062,1
1,Agent,2855,11.800946234741502,1
1,Agent,2854,10.54585907339355,1
1,Agent,1338,3.6816747390276436,1
1,Agent,1190,7.987567738724536,1
1,Agent,1178,10.271018704393104,1
1,Agent,1651,9.348676618413482,1
1,Agent,1425,9.223534120758433,1
1,Agent,2063,10.262515363069399,1
1,Agent,2791,8.771108911313584,1
1,Agent,309,9.559525912064235,1
1,Agent,2727,10.035013279358266,1
1,Agent,14,11.216823515611525,1
1,Agent,1862,7.643978996311557,1
1,Agent,173,9.754341739858766,1
1,Agent,184,9.531500449758422,1
1,Agent,3145,7.712805917193628,1
1,Agent,2357,9.187355208167928,1
1,Agent,450,10.659192262310837,1
1,Agent,256,7.646064202317988,1
1,Agent,1741,9.1357480593981,1
1,Agent,44,9.232494756215274,1
1,Agent,2154,11.87458795515059,1
1,Agent,1878,9.822530664217057,1
1,Agent,2983,9.107519270577813,1
1,Agent,1322,6.183304749264643,1
1,Agent,727,9.2444463476736,1
1,Agent,2843,11.037109391940447,1
1,Agent,1533,10.266482385853651,1
1,Agent,2337,11.127967323966693,1
1,Agent,194,8.880437014609432,1
1,Agent,1833,8.740569199405924,1
1,Agent,3080,11.164493701150429,1
1,Agent,3035,8.714871011516097,1
1,Agent,2042,10.919343655149993,1
1,Agent,1236,8.275415743054724,1
1,Agent,2268,7.33427587643034,1
1,Agent,238,9.419468480845644,1
1,Agent,2936,9.42576031544241,1
1,Agent,449,10.992525595644173,1
1,Agent,1487,8.939003800276181,1
1,Agent,2765,7.522342606886223,1
1,Agent,314,9.37941906931509,1
1,Agent,578,8.942748493822554,1
1,Agent,2131,8.431742823051518,1
1,Agent,1525,10.517748284060975,1
1,Agent,581,10.190495988682983,1
1,Agent,2658,9.885701154294606,1
1,Agent,1061,8.536352868596957,1
1,Agent,485,9.679196542970752,1
1,Agent,2325,9.249364043451479,1
1,Agent,1795,10.422051147227748,1
1,Agent,1536,10.349895379465126,1
1,Agent,829,7.856807600856483,1
1,Agent,2140,10.249384033689672,1
1,Agent,1475,9.657097698399896,1
1,Agent,631,7.927307251060867,1
1,Agent,2890,8.58673003563031,1
1,Agent,1255,9.062799729051372,1
1,Agent,3021,10.195850391887246,1
1,Agent,2903,8.635749982646407,1
1,Agent,567,9.75879528691147,1
1,Agent,1842,9.260270065016156,1
1,Agent,289,9.662561611141902,1
1,Agent,52,10.050334950166043,1
1,Agent,605,5.074833113646659,1
1,Agent,2487,9.083411046696009,1
1,Agent,1422,9.986290410868422,1
1,Agent,51,8.772475553811205,1
1,Agent,2234,9.946299732929658,1
1,Agent,2270,8.703303458605742,1
1,Agent,63,9.314220672807252,1
1,Agent,2896,12.645370727150262,1
1,Agent,1022,8.888267873062114,1
1,Agent,1113,10.1997252644302,1
1,Agent,2648,8.500360452545122,1
1,Agent,3106,7.496364122848986,1
1,Agent,2329,8.567720175687093,1
1,Agent,2894,10.65261653998956,1
1,Agent,3217,9.451110817405008,1
1,Agent,1941,10.845766875593217,1
1,Agent,670,11.238180793699573,1
1,Agent,1029,8.901287835429113,1
1,Agent,174,10.091788733273646,1
1,Agent,676,12.718848975992609,1
1,Agent,756,9.881375433497132,1
1,Agent,120,10.16071583572089,1
1,Agent,3214,9.182578361965083,1
1,Agent,299,10.250295049362538,1
1,Agent,279,10.038757674654338,1
1,Agent,1927,9.578420859038932,1
1,Agent,705,7.382592170707632,1
1,Agent,1391,10.48085355933293,1
1,Agent,805,8.520072035499991,1
1,Agent,2685,9.587639195875031,1
1,Agent,1915,9.965565967993706,1
1,Agent,927,9.148096577378027,1
1,Agent,1907,10.365515462197518,1
1,Agent,214,9.335211235244763,1
1,Agent,678,9.727762242852325,1
1,Agent,2576,10.94114910494844,1
1,Agent,1588,13.45018002033831,1
1,Agent,2815,8.248396034796981,1
1,Agent,2115,9.625434770297113,1
1,Agent,1427,9.229382604546121,1
1,Agent,2952,11.15024506753518,1
1,Agent,1385,10.058967055750552,1
1,Agent,3042,9.444643348794084,1
1,Agent,2746,9.89902395081245,1
1,Agent,45,6.259387453181776,1
1,Agent,2636,10.346748085596987,1
1,Agent,218,9.235887917753352,1
1,Agent,2788,9.49903166938519,1
1,Agent,3108,10.230814775979574,1
1,Agent,1503,8.398161731415618,1
1,Agent,1732,9.70346993440031,1
1,Agent,1161,10.354874181048087,1
1,Agent,3109,10.342799517104085,1
1,Agent,251,8.404327476934212,1
1,Agent,812,8.293924375895488,1
1,Agent,2749,9.52261134905894,1
1,Agent,1543,10.276512859227882,1
1,Agent,1864,10.687519453582402,1
1,Agent,2586,9.8260157746841,1
1,Agent,2019,8.582302457277576,1
1,Agent,3118,8.960214606780681,1
1,Agent,2354,7.889666639798827,1
1,Agent,2661,10.32246875610839,1
1,Agent,2064,10.160907688074248,1
1,Agent,554,8.308625509884243,1
1,Agent,1359,5.383874518968476,1
1,Agent,0,9.476372482534241,1
1,Agent,2206,9.114869372618172,1
1,Agent,2860,12.034369223005456,1
1,Agent,2025,8.664180066633078,1
1,Agent,393,9.924792339500167,1
1,Agent,1507,8.27548567986918,1
1,Agent,325,8.863187101629894,1
1,Agent,679,8.971922170844952,1
1,Agent,1873,10.206247984716056,1
1,Agent,211,7.056250305334807,1
1,Agent,3156,8.853384339090361,1
1,Agent,270,10.495294466339903,1
1,Agent,2370,9.674386758638098,1
1,Agent,859,8.609484582411778,1
1,Agent,610,10.817772681680559,1
1,Agent,149,8.383114029312823,1
1,Agent,2949,10.107218304776246,1
1,Agent,2649,9.616930088224583,1
1,Agent,2422,9.31947676690266,1
1,Agent,1222,9.60547982789793,1
1,Agent,2657,9.503393172936232,1
1,Agent,2077,8.622147038899268,1
1,Agent,33,11.79401713126819,1
1,Agent,179,10.28059260071507,1
1,Agent,538,10.414565080613208,1
1,Agent,746,9.780774470286127,1
1,Agent,1811,10.077707385821792,1
1,Agent,1124,9.422677869278958,1
1,Agent,2966,9.709957753325707,1
1,Agent,230,9.148784546496161,2
1,Agent,2541,10.815914080183582,2
1,Agent,1406,11.320789430960518,2
1,Agent,1804,7.821038588109852,2
1,Agent,2436,8.779422882687971,2
1,Agent,1440,8.08396233538391,2
1,Agent,2579,8.564550847740762,2
1,Agent,2908,9.787359347839649,2
1,Agent,61,9.861720955709485,2
1,Agent,2116,9.135659503371187,2
1,Agent,2141,11.512131969948745,2
1,Agent,1412,11.406370739669596,2
1,Agent,1329,9.986537610826192,2
1,Agent,1022,9.235986016526683,2
1,Agent,1709,4.642837849736574,2
1,Agent,2103,3.6845687579478543,2
1,Agent,2044,6.308348586150653,2
1,Agent,1369,8.12511642907449,2
1,Agent,1754,7.330134255737512,2
1,Agent,2423,7.940037820814626,2
1,Agent,2174,9.157806664684772,2
1,Agent,2537,10.52454627780657,2
1,Agent,747,8.189482667486983,2
1,Agent,469,10.277998620668198,2
