n,Group,cross_entropy
1,Agent,6.220878706768108
1,Agent,8.978229415471754
1,Agent,7.368388805850728
1,Agent,8.13804567220641
1,Agent,13.295984117512994
1,Agent,8.979830226969918
1,Agent,9.49054893519677
1,Agent,10.551729560600975
1,Agent,11.18556889530335
1,Agent,8.702421270943887
1,Agent,8.531751446139653
1,Agent,8.69599594801212
1,Agent,9.602145134337364
1,Agent,8.854550393145889
1,Agent,9.314089577178308
1,Agent,8.517434123232542
1,Agent,9.519057334009064
1,Agent,10.999491959766848
1,Agent,10.540448975067696
1,Agent,9.691774326090226
1,Agent,8.829559376980928
1,Agent,8.531029635450786
1,Agent,6.853567321154402
1,Agent,9.598666228400903
1,Agent,11.273787057833767
1,Agent,10.245537324519578
1,Agent,8.726296553902195
1,Agent,10.224599772174418
1,Agent,8.037248061287666
1,Agent,9.98415803770244
1,Agent,9.4957746434055
1,Agent,8.764598064509618
1,Agent,10.10289067463969
1,Agent,8.950550077349284
1,Agent,8.626610853498418
1,Agent,10.447720312554075
1,Agent,10.187036890810221
1,Agent,9.799382795909251
1,Agent,10.346746173967835
1,Agent,9.099356079029825
1,Agent,7.70005225947983
1,Agent,9.8961450803721
1,Agent,9.877929881330264
1,Agent,10.794356705004077
1,Agent,3.603368615818413
1,Agent,10.002468244250101
1,Agent,9.52762405353015
1,Agent,11.321706737687146
1,Agent,12.117804605533111
1,Agent,9.920689190203577
1,Agent,9.432978050485048
1,Agent,10.7462962747112
1,Agent,10.391449422635201
1,Agent,8.660924464551151
1,Agent,7.687658080185476
1,Agent,9.173710373644953
1,Agent,9.509810773470177
1,Agent,10.098473754586353
1,Agent,11.525053561185224
1,Agent,9.735774941046193
1,Agent,12.252252696887824
1,Agent,7.623827003296898
1,Agent,10.533458612904264
1,Agent,8.863456155226794
1,Agent,5.933390116275115
1,Agent,8.824051594724835
1,Agent,9.246050678986
1,Agent,9.89774713228498
1,Agent,6.426541968555278
1,Agent,11.594905116649894
1,Agent,9.844044647068118
1,Agent,8.545861541101075
1,Agent,9.716897293152673
1,Agent,12.375332990522523
1,Agent,9.725337137987454
1,Agent,10.309200457937617
1,Agent,10.342655723667415
1,Agent,9.832245296500096
1,Agent,9.30661542315322
1,Agent,9.543893923018445
1,Agent,8.373733299982806
1,Agent,10.518665572015909
1,Agent,8.555044575801658
1,Agent,11.003364732300676
1,Agent,11.764136779854297
1,Agent,11.253294204282712
1,Agent,8.777564597289187
1,Agent,9.749683053822112
1,Agent,10.400563396958864
1,Agent,9.960018461751195
1,Agent,9.256831031776217
1,Agent,9.87361606675673
1,Agent,10.52936976924347
1,Agent,8.686989491467783
1,Agent,8.943797391356457
1,Agent,10.514739176465413
1,Agent,9.262336759113822
1,Agent,7.176171771403365
1,Agent,9.723309086589852
1,Agent,9.615985952403374
1,Agent,11.828035208709466
1,Agent,10.014255027032574
1,Agent,8.526127755525254
1,Agent,12.402708569085531
1,Agent,8.940196857972115
1,Agent,10.639452475349222
1,Agent,3.603368615818413
1,Agent,9.726806971285045
1,Agent,5.943983322120547
1,Agent,6.907450320684667
1,Agent,13.045015071501249
1,Agent,9.51414587303603
1,Agent,9.78351149948847
1,Agent,11.673782348417777
1,Agent,9.143711141359477
1,Agent,9.315325794648778
1,Agent,8.090401753513484
1,Agent,6.869895206966224
1,Agent,9.522660384628562
1,Agent,10.828375139657803
1,Agent,8.984959288250467
1,Agent,9.75471791556134
1,Agent,3.603368615818413
1,Agent,8.18661254466945
1,Agent,10.918506599717965
1,Agent,9.674281241275535
1,Agent,8.936170341448864
1,Agent,11.091381056850402
1,Agent,11.404552475438196
1,Agent,9.430444104919241
1,Agent,9.154028888575667
1,Agent,8.191843916253653
1,Agent,11.647854974277987
1,Agent,8.952764783038482
1,Agent,3.603368615818413
1,Agent,8.872740643903702
1,Agent,8.223925911955488
1,Agent,10.284022908478788
1,Agent,9.68865232649251
1,Agent,9.789095978823157
1,Agent,9.696360685309983
1,Agent,9.86875738045205
1,Agent,3.603368615818413
1,Agent,9.470111888919243
1,Agent,10.306630891122676
1,Agent,3.603368615818413
1,Agent,9.63366483126388
1,Agent,9.720695519889777
1,Agent,4.441681053858132
1,Agent,11.018325006280772
1,Agent,9.014483000910838
1,Agent,11.722031216920994
1,Agent,10.66437345873465
1,Agent,9.160661305704192
1,Agent,10.154276113572935
1,Agent,7.214003058875197
1,Agent,8.762568748574992
1,Agent,9.683806713717232
1,Agent,8.811376175290443
1,Agent,10.58923262691745
1,Agent,9.486521690319394
1,Agent,7.255147677987797
1,Agent,9.376412651339445
1,Agent,8.863122524993244
1,Agent,8.896280873148976
1,Agent,11.365797557674783
1,Agent,9.24873787095478
1,Agent,9.398445616948132
1,Agent,8.354604191850513
1,Agent,9.403750909410485
1,Agent,9.8898870894228
1,Agent,10.803197351623197
1,Agent,9.521152212982782
1,Agent,9.689951738194596
1,Agent,9.437543228889488
1,Agent,5.681096576837507
1,Agent,9.449842291833427
1,Agent,11.153109351209666
1,Agent,10.737475709558185
1,Agent,11.80614461363733
1,Agent,8.116907865064963
1,Agent,9.600568853458151
1,Agent,10.379586511657822
1,Agent,8.241595374100985
1,Agent,9.195357682703522
1,Agent,11.200111369305223
1,Agent,3.603368615818413
1,Agent,9.676788482151085
1,Agent,9.22172718105613
1,Agent,8.949676366665702
1,Agent,11.010197030763932
1,Agent,10.457000114823247
1,Agent,3.603368615818413
1,Agent,12.115859409722422
1,Agent,10.445653005610554
1,Agent,9.838663429438757
1,Agent,11.87164461937752
1,Agent,8.309516770049832
1,Agent,10.198570866088975
1,Agent,10.18551949053204
1,Agent,10.5475187211352
1,Agent,8.620333099334882
1,Agent,7.801029607059
1,Agent,8.023770570561336
1,Agent,10.769149219457576
1,Agent,11.730892949359077
1,Agent,8.296057918723042
1,Agent,9.456488946093268
1,Agent,3.603368615818413
1,Agent,9.261614591512501
1,Agent,10.467176260358675
1,Agent,9.004850807922816
1,Agent,8.67699048205616
1,Agent,11.425315554789702
1,Agent,8.570529337898163
1,Agent,7.223909361989248
1,Agent,5.092281092700507
1,Agent,9.235155367228328
1,Agent,7.487442543563784
1,Agent,10.03430435292037
1,Agent,7.072013235309743
1,Agent,8.104784501051117
1,Agent,9.195201466096483
1,Agent,8.082306128457367
1,Agent,11.13020031942843
1,Agent,9.725507405161144
1,Agent,9.028021018114925
1,Agent,9.934564175211852
1,Agent,10.282186798012708
1,Agent,9.374257897366133
1,Agent,8.497327467162123
